Crop,AgroEcological Zone,Additional information,Early Sowing,,Later Sowing,,All year,Sowing rate,,Growing period,,Early harvest,,Late harvest,,AgroEcological Zone Description,AgroEcological Zone Practices,AgroEcological Zone Units,Comments En,Comments ES,Comments FR,Comments ZH,Comments AR,Comments RU
"Bean, broad",Middle Jordan Valley,"All type of soil except saline and alkali soil, irrigated, organic fertilizers will be added to the soil before planting, CWR (m3 water/du.) =706",1,9,15,9,no,25,kg/ha,210-240,Days,30,4,15,5,"Rainfall isohytes range within ( 100-350) mm/year , altitude range(-429- 330) m, mean annual range of max. tempreature(28-32) oC,mean annual range of min. tempreature(18-20) oC","Irrigated agriculture: for cereals( crops like maize ) and for legumes (crops like beans), for root and tubber (crops like potato) in addition to the vegetables (crops like squash, cucumber) for protected one (crops like cucumber) for fruit trees (like orange, lemon)","southern shouneh, Dairalla",Organic fertilizers can be added to the soil before planting. Irrigated. Planted in all types of soil except saline and alkaline soils.,,,,,
Bean,Middle Jordan Valley,"Irrigated, CWR (m3 water/du.) =197-228,",1,10,15,1,no,50-100 seeds,kg/ha,90,Days,30,12,15,4,"Rainfall isohytes range within ( 100-350) mm/year , altitude range(-429- 330) m, mean annual range of max. tempreature(28-32) oC,mean annual range of min. tempreature(18-20) oC","Irrigated agriculture: for cereals( crops like maize ) and for legumes (crops like beans), for root and tubber (crops like potato) in addition to the vegetables (crops like squash, cucumber) for protected one (crops like cucumber) for fruit trees (like orange, lemon)","southern shouneh, Dairalla",Open field. Irrigated,,,,,
Bean,Southern Jordan Valley,"Irrigated, CWR (m3 water/du.) =311",1,9,15,11,no,50-100 seeds,,90,Days,5,4,20,6,"Rainfall isohytes range within ( 100-300) mm/year , altitude range (-422-1032) m, mean annual range of max. tempreature(20-34) oC,mean annual range of min. tempreature(10-20) oC.","Irrigated agriculture for legumes (crops like beans), for root and tubber (crops like potato) in addition to the vegetables (crops like squash, cucumber) for protected one (crops like cucumber, watermelon) for fruit trees (like banana, palm)",southern ghor,Irrigated,,,,,
"Bean, broad",Southern Jordan Valley,"All type of soil except saline and alkali soil, irrigated, organic fertilizers will be added to the soil before planting, CWR (m3 water/du.) =706",1,9,15,10,no,25,kg/ha,210-240,Days,30,4,15,5,"Rainfall isohytes range within ( 100-300) mm/year , altitude range (-422-1032) m, mean annual range of max. tempreature(20-34) oC,mean annual range of min. tempreature(10-20) oC.","Irrigated agriculture for legumes (crops like beans), for root and tubber (crops like potato) in addition to the vegetables (crops like squash, cucumber) for protected one (crops like cucumber, watermelon) for fruit trees (like banana, palm)",southern ghor,Organic fertilizers can be added to the soil before planting. Irrigated. Planted in all types of soil except saline and alkaline soils.,,,,,
Chick-pea,Southern Jordan Valley,"clay soil, irrigated, 5 m3 org. fert.+70 kg phosphate+12 kg potassium sulphate",15,10,15,11,no,80-100,kg/ha,50-60,Days,1,12,30,12,"Rainfall isohytes range within ( 100-300) mm/year , altitude range (-422-1032) m, mean annual range of max. tempreature(20-34) oC,mean annual range of min. tempreature(10-20) oC.","Irrigated agriculture for legumes (crops like beans), for root and tubber (crops like potato) in addition to the vegetables (crops like squash, cucumber) for protected one (crops like cucumber, watermelon) for fruit trees (like banana, palm)",southern ghor,Planted in clay soil. Irrigated.  5 m3 organic fertelizer +70 kg phosphate+12 kg potassium sulphate,,,,,
Potato,Northern Jordan Valley,"Medium-textured, light yellow soils that are well drained and loose, irrigated, 80-100 kg fertiliz. 2 ton Manure, CWR (m3 water/du.) =171-332, ",1,11,1,2,no,1000-25000,kg/ha,100-120,Days,28,2,30,5,"Rainfall isohytes range within ( 300-450) mm/year , altitude range (-343- 324) m, mean annual range of max. tempreature(30-34) oC,mean annual range of min. tempreature(18-22) oC","Irrigated agriculture: for cereals( crops like maize, barley ) and for legumes (crops like beans), for root and tubber (crops like potato, carrot) in addition to the vegetables (crops like okra, lettuce) at for fruit trees (like guva, palm)",Northern ghor,Open field. Medium-textured and light yellow soils that are well drained and loose. Irrigated. 80-100 kg fertilizer and 2 tons manure. ,,,,,
Onion,Northern Jordan Valley,"Soil rich in organic matter, light and loose, irrigated, 80-100 kg fertiliz. 2 ton Manure, CWR (m3 water/du.) =232,",15,10,25,11,no,5,kg/ha,90-100,Days,10,1,25,2,"Rainfall isohytes range within ( 300-450) mm/year , altitude range (-343- 324) m, mean annual range of max. tempreature(30-34) oC,mean annual range of min. tempreature(18-22) oC","Irrigated agriculture: for cereals( crops like maize, barley ) and for legumes (crops like beans), for root and tubber (crops like potato, carrot) in addition to the vegetables (crops like okra, lettuce) at for fruit trees (like guva, palm)",Northern ghor,"Open field. Soil rich in organic matter. Irrigated. 80-100 kg fertilizer + 2 tons manure, CWR (m3 water/du.) =232,",,,,,
Carrot,Northern Jordan Valley,"Soil rich in organic matter, light and loose, irrigated, 80-100 kg fertiliz. 2 ton Manure, CWR (m3 water/du.) =232,",15,10,15,10,no,10,kg/ha,120,Days,15,1,15,2,"Rainfall isohytes range within ( 300-450) mm/year , altitude range (-343- 324) m, mean annual range of max. tempreature(30-34) oC,mean annual range of min. tempreature(18-22) oC","Irrigated agriculture: for cereals( crops like maize, barley ) and for legumes (crops like beans), for root and tubber (crops like potato, carrot) in addition to the vegetables (crops like okra, lettuce) at for fruit trees (like guva, palm)",Northern ghor,"Open field. Medium-textured and light yellow soils that are well drained and loose.  Irrigated. 80-100 kg fertilizer + 2 tons Manure, CWR (m3 water/du.) =325, ",,,,,
Garlic,Northern Jordan Valley,"Soil rich in organic matter, light and loose, irrigated, 80-100 kg fertiliz. 2 ton Manure, ",15,10,15,11,no,50-70,kg/ha,180,Days,15,4,15,5,"Rainfall isohytes range within ( 300-450) mm/year , altitude range (-343- 324) m, mean annual range of max. tempreature(30-34) oC,mean annual range of min. tempreature(18-22) oC","Irrigated agriculture: for cereals( crops like maize, barley ) and for legumes (crops like beans), for root and tubber (crops like potato, carrot) in addition to the vegetables (crops like okra, lettuce) at for fruit trees (like guva, palm)",Northern ghor,"Soil rich in organic matter, light and loose. Irrigated. 80-100 kg fertilizer +2 tons Manure",,,,,
Turnip,Northern Jordan Valley,"Medium-textured, light yellow soils that are well drained and loose,irrigated, 80-100 kg fertiliz. 2 ton Manure, ",10,10,15,12,no,3000-4000,gr/ha,60,Days,10,12,15,2,"Rainfall isohytes range within ( 300-450) mm/year , altitude range (-343- 324) m, mean annual range of max. tempreature(30-34) oC,mean annual range of min. tempreature(18-22) oC","Irrigated agriculture: for cereals( crops like maize, barley ) and for legumes (crops like beans), for root and tubber (crops like potato, carrot) in addition to the vegetables (crops like okra, lettuce) at for fruit trees (like guva, palm)",Northern ghor,"Medium-textured, light yellow soils that are well drained and loose. Irrigated. 80-100 kg fertilizer +2 tons Manure",,,,,
Radish,Northern Jordan Valley,"Medium-textured, light yellow soils that are well drained and loose, irrigated, 80-100 kg fertiliz. 2 ton Manure,",15,10,15,7,no,10,kg/ha,40-50,Days,30,11,30,8,"Rainfall isohytes range within ( 300-450) mm/year , altitude range (-343- 324) m, mean annual range of max. tempreature(30-34) oC,mean annual range of min. tempreature(18-22) oC","Irrigated agriculture: for cereals( crops like maize, barley ) and for legumes (crops like beans), for root and tubber (crops like potato, carrot) in addition to the vegetables (crops like okra, lettuce) at for fruit trees (like guva, palm)",Northern ghor,"Medium-textured, light yellow soils that are well drained and loose. Irrigated.  80-100 kg fertilizer+ 2 tons Manure",,,,,
Potato,Middle Jordan Valley,"Medium-textured, light yellow soils that are well drained and loose, irrigated, 80-100 kg fertiliz. 2 ton Manure, CWR (m3 water/du.) =171-332, ",1,10,1,1,no,1000-2500,kg/ha,100-120,Days,1,2,1,5,"Rainfall isohytes range within ( 100-350) mm/year , altitude range(-429- 330) m, mean annual range of max. tempreature(28-32) oC,mean annual range of min. tempreature(18-20) oC","Irrigated agriculture: for cereals( crops like maize ) and for legumes (crops like beans), for root and tubber (crops like potato) in addition to the vegetables (crops like squash, cucumber) for protected one (crops like cucumber) for fruit trees (like orange, lemon)","southern shouneh, Dairalla","Medium-textured, light yellow soils that are well drained.  Irrigated. 80-100 kg fertilizer+ 2 ton Manure. CWR (m3 water/du.) =171-332",,,,,
Onion,Middle Jordan Valley,"Soil rich in organic matter, light and loose, irrigated, 80-100 kg fertiliz. 2 ton Manure, CWR (m3 water/du.) =232,",15,9,25,10,no,5,kg/ha,90-100,Days,15,12,15,1,"Rainfall isohytes range within ( 100-350) mm/year , altitude range(-429- 330) m, mean annual range of max. tempreature(28-32) oC,mean annual range of min. tempreature(18-20) oC","Irrigated agriculture: for cereals( crops like maize ) and for legumes (crops like beans), for root and tubber (crops like potato) in addition to the vegetables (crops like squash, cucumber) for protected one (crops like cucumber) for fruit trees (like orange, lemon)","southern shouneh, Dairalla","Soil rich in organic matter, light and loose. Irrigated. 80-100 kg fertilize+ 2 tons Manure. CWR (m3 water/du.) =232",,,,,
Garlic,Middle Jordan Valley,"Soil rich in organic matter, light and loose, irrigated, 80-100 kg fertiliz. 2 ton Manure, ",15,9,15,10,no,50-70,kg/ha,180,Days,15,3,15,4,"Rainfall isohytes range within ( 100-350) mm/year , altitude range(-429- 330) m, mean annual range of max. tempreature(28-32) oC,mean annual range of min. tempreature(18-20) oC","Irrigated agriculture: for cereals( crops like maize ) and for legumes (crops like beans), for root and tubber (crops like potato) in addition to the vegetables (crops like squash, cucumber) for protected one (crops like cucumber) for fruit trees (like orange, lemon)","southern shouneh, Dairalla","Soil rich in organic matter, light and loose. irrigated. 80-100 kg fertilizer+ 2 ton Manure, ",,,,,
Carrot,Middle Jordan Valley,"Medium-textured, light yellow soils that are well drained and loose, irrigated, 80-100 kg fertiliz. 2 ton Manure, CWR (m3 water/du.) =325,",1,9,1,10,no,10,kg/ha,120,Days,1,1,1,2,"Rainfall isohytes range within ( 100-350) mm/year , altitude range(-429- 330) m, mean annual range of max. tempreature(28-32) oC,mean annual range of min. tempreature(18-20) oC","Irrigated agriculture: for cereals( crops like maize ) and for legumes (crops like beans), for root and tubber (crops like potato) in addition to the vegetables (crops like squash, cucumber) for protected one (crops like cucumber) for fruit trees (like orange, lemon)","southern shouneh, Dairalla","Medium-textured, light yellow soils that are well drained and loose, irrigated, 80-100 kg fertiliz. 2 ton Manure, CWR (m3 water/du.) =325,",,,,,
Turnip,Middle Jordan Valley,"Medium-textured, light yellow soils that are well drained and loose, irrigated, 80-100 kg fertiliz. 2 ton Manure, ",10,9,15,11,no,3000-4000,kg/ha,60,Days,10,11,15,1,"Rainfall isohytes range within ( 100-350) mm/year , altitude range(-429- 330) m, mean annual range of max. tempreature(28-32) oC,mean annual range of min. tempreature(18-20) oC","Irrigated agriculture: for cereals( crops like maize ) and for legumes (crops like beans), for root and tubber (crops like potato) in addition to the vegetables (crops like squash, cucumber) for protected one (crops like cucumber) for fruit trees (like orange, lemon)","southern shouneh, Dairalla","Medium-textured, light yellow soils that are well drained and loose, irrigated, 80-100 kg fertiliz. 2 ton Manure, ",,,,,
Radish,Middle Jordan Valley,"Medium-textured, light yellow soils that are well drained and loose, irrigated, 80-100 kg fertiliz. 2 ton Manure, ",15,9,15,6,no,10,kg/ha,40-50,Days,30,10,30,7,"Rainfall isohytes range within ( 100-350) mm/year , altitude range(-429- 330) m, mean annual range of max. tempreature(28-32) oC,mean annual range of min. tempreature(18-20) oC","Irrigated agriculture: for cereals( crops like maize ) and for legumes (crops like beans), for root and tubber (crops like potato) in addition to the vegetables (crops like squash, cucumber) for protected one (crops like cucumber) for fruit trees (like orange, lemon)","southern shouneh, Dairalla","Medium-textured, light yellow soils that are well drained and loose, irrigated, 80-100 kg fertiliz. 2 ton Manure, ",,,,,
Potato,Middle Jordan Valley,"Medium-textured, light yellow soils that are well drained and loose, irrigated, 80-100 kg fertiliz. 2 ton Manure, CWR (m3 water/du.) =189-368,",15,10,1,2,no,1000-2500,kg/ha,100-120,Days,15,2,30,5,"Rainfall isohytes range within ( 100-350) mm/year , altitude range(-429- 330) m, mean annual range of max. tempreature(28-32) oC,mean annual range of min. tempreature(18-20) oC","Irrigated agriculture: for cereals( crops like maize ) and for legumes (crops like beans), for root and tubber (crops like potato) in addition to the vegetables (crops like squash, cucumber) for protected one (crops like cucumber) for fruit trees (like orange, lemon)","southern shouneh, Dairalla","Medium-textured, light yellow soils that are well drained and loose, irrigated, 80-100 kg fertiliz. 2 ton Manure, CWR (m3 water/du.) =189-368,",,,,,
Onion,Middle Jordan Valley,"Soil rich in organic matter, light and loose, irrigated, 80-100 kg fertiliz. 2 ton Manure, CWR (m3 water/du.) =258,",1,10,1,11,no,5,kg/ha,90-100,Days,10,1,10,2,"Rainfall isohytes range within ( 100-350) mm/year , altitude range(-429- 330) m, mean annual range of max. tempreature(28-32) oC,mean annual range of min. tempreature(18-20) oC","Irrigated agriculture: for cereals( crops like maize ) and for legumes (crops like beans), for root and tubber (crops like potato) in addition to the vegetables (crops like squash, cucumber) for protected one (crops like cucumber) for fruit trees (like orange, lemon)","southern shouneh, Dairalla","Soil rich in organic matter, light and loose, irrigated, 80-100 kg fertiliz. 2 ton Manure, CWR (m3 water/du.) =258,",,,,,
Onion,Middle Jordan Valley,"Soil rich in organic matter, light and loose, irrigated, 80-100 kg fertiliz. 2 ton Manure, CWR (m3 water/du.) =675,",15,,15,11,no,5,kg/ha,180-210,Days,15,5,15,6,"Rainfall isohytes range within ( 100-350) mm/year , altitude range(-429- 330) m, mean annual range of max. tempreature(28-32) oC,mean annual range of min. tempreature(18-20) oC","Irrigated agriculture: for cereals( crops like maize ) and for legumes (crops like beans), for root and tubber (crops like potato) in addition to the vegetables (crops like squash, cucumber) for protected one (crops like cucumber) for fruit trees (like orange, lemon)","southern shouneh, Dairalla","Soil rich in organic matter, light and loose, irrigated, 80-100 kg fertiliz. 2 ton Manure, CWR (m3 water/du.) =675,",,,,,
Carrot,Middle Jordan Valley,"Medium-textured, light yellow soils that are well drained and loose, irrigated, 80-100 kg fertiliz. 2 ton Manure, CWR (m3 water/du.) =360",15,9,15,10,no,10,kg/ha,120,Days,15,1,15,2,"Rainfall isohytes range within ( 100-350) mm/year , altitude range(-429- 330) m, mean annual range of max. tempreature(28-32) oC,mean annual range of min. tempreature(18-20) oC","Irrigated agriculture: for cereals( crops like maize ) and for legumes (crops like beans), for root and tubber (crops like potato) in addition to the vegetables (crops like squash, cucumber) for protected one (crops like cucumber) for fruit trees (like orange, lemon)","southern shouneh, Dairalla","Medium-textured, light yellow soils that are well drained and loose, irrigated, 80-100 kg fertiliz. 2 ton Manure, CWR (m3 water/du.) =360",,,,,
Garlic,Middle Jordan Valley,"Soil rich in organic matter, light and loose, irrigated, 80-100 kg fertiliz. 2 ton Manure, ",1,10,1,11,no,50-70,kg/ha,180,Days,1,4,1,5,"Rainfall isohytes range within ( 100-350) mm/year , altitude range(-429- 330) m, mean annual range of max. tempreature(28-32) oC,mean annual range of min. tempreature(18-20) oC","Irrigated agriculture: for cereals( crops like maize ) and for legumes (crops like beans), for root and tubber (crops like potato) in addition to the vegetables (crops like squash, cucumber) for protected one (crops like cucumber) for fruit trees (like orange, lemon)","southern shouneh, Dairalla","Soil rich in organic matter, light and loose, irrigated, 80-100 kg fertiliz. 2 ton Manure, ",,,,,
Turnip,Middle Jordan Valley,"Medium-textured, light yellow soils that are well drained and loose, irrigated, 80-100 kg fertiliz. 2 ton Manure",1,10,1,12,no,3000-4000,gr/ha,60,Days,1,12,1,2,"Rainfall isohytes range within ( 100-350) mm/year , altitude range(-429- 330) m, mean annual range of max. tempreature(28-32) oC,mean annual range of min. tempreature(18-20) oC","Irrigated agriculture: for cereals( crops like maize ) and for legumes (crops like beans), for root and tubber (crops like potato) in addition to the vegetables (crops like squash, cucumber) for protected one (crops like cucumber) for fruit trees (like orange, lemon)","southern shouneh, Dairalla","Medium-textured, light yellow soils that are well drained and loose, irrigated, 80-100 kg fertiliz. 2 ton Manure",,,,,
Radish,Middle Jordan Valley,"Medium-textured, light yellow soils that are well drained and loose, irrigated, 80-100 kg fertiliz. 2 ton Manure",1,10,1,7,no,10,kg/ha,40-50,Days,15,1,15,8,"Rainfall isohytes range within ( 100-350) mm/year , altitude range(-429- 330) m, mean annual range of max. tempreature(28-32) oC,mean annual range of min. tempreature(18-20) oC","Irrigated agriculture: for cereals( crops like maize ) and for legumes (crops like beans), for root and tubber (crops like potato) in addition to the vegetables (crops like squash, cucumber) for protected one (crops like cucumber) for fruit trees (like orange, lemon)","southern shouneh, Dairalla","Medium-textured, light yellow soils that are well drained and loose, irrigated, 80-100 kg fertiliz. 2 ton Manure",,,,,
Potato,Southern Jordan Valley,"Medium-textured, light yellow soils that are well drained and loose, irrigated, 80-100 kg fertiliz. 2 ton Manure, CWR (m3 water/du.) =189-368,",15,9,15,12,no,1000-2500,kg/ha,100-120,Days,15,1,15,4,"Rainfall isohytes range within ( 100-300) mm/year , altitude range (-422-1032) m, mean annual range of max. tempreature(20-34) oC,mean annual range of min. tempreature(10-20) oC.","Irrigated agriculture for legumes (crops like beans), for root and tubber (crops like potato) in addition to the vegetables (crops like squash, cucumber) for protected one (crops like cucumber, watermelon) for fruit trees (like banana, palm)",southern ghor,"Medium-textured, light yellow soils that are well drained and loose, irrigated, 80-100 kg fertiliz. 2 ton Manure, CWR (m3 water/du.) =189-368,",,,,,
Onion,Southern Jordan Valley,"Soil rich in organic matter, light and loose, irrigated, 80-100 kg fertiliz. 2 ton Manure, CWR (m3 water/du.) =360",1,9,1,10,no,5,kg/ha,90-100,Days,1,12,1,1,"Rainfall isohytes range within ( 100-300) mm/year , altitude range (-422-1032) m, mean annual range of max. tempreature(20-34) oC,mean annual range of min. tempreature(10-20) oC.","Irrigated agriculture for legumes (crops like beans), for root and tubber (crops like potato) in addition to the vegetables (crops like squash, cucumber) for protected one (crops like cucumber, watermelon) for fruit trees (like banana, palm)",southern ghor,"Soil rich in organic matter, light and loose, irrigated, 80-100 kg fertiliz. 2 ton Manure, CWR (m3 water/du.) =360",,,,,
Carrot,Southern Jordan Valley,"Medium-textured, light yellow soils that are well drained and loose, irrigated, 80-100 kg fertiliz. 2 ton Manure, CWR (m3 water/du.) =325, ",15,8,15,9,no,10,kg/ha,120,Days,15,12,15,1,"Rainfall isohytes range within ( 100-300) mm/year , altitude range (-422-1032) m, mean annual range of max. tempreature(20-34) oC,mean annual range of min. tempreature(10-20) oC.","Irrigated agriculture for legumes (crops like beans), for root and tubber (crops like potato) in addition to the vegetables (crops like squash, cucumber) for protected one (crops like cucumber, watermelon) for fruit trees (like banana, palm)",southern ghor,"Medium-textured, light yellow soils that are well drained and loose, irrigated, 80-100 kg fertiliz. 2 ton Manure, CWR (m3 water/du.) =325, ",,,,,
Cauliflower,Northern Jordan Valley,"From heavy to light, fertile with good drainage and aeration, irrigated, 150 kg chem. + 300 kg org. fert., 2.5 in open field, CWR (m3 water/du.) =254-339,",1,9,1,11,no,50000,seedlings/ha,120-140,Days,20,1,20,3,"Rainfall isohytes range within ( 300-450) mm/year , altitude range (-343- 324) m, mean annual range of max. tempreature(30-34) oC,mean annual range of min. tempreature(18-22) oC","Irrigated agriculture: for cereals( crops like maize, barley ) and for legumes (crops like beans), for root and tubber (crops like potato, carrot) in addition to the vegetables (crops like okra, lettuce) at for fruit trees (like guva, palm)",Northern ghor,"From heavy to light, fertile with good drainage and aeration, irrigated, 150 kg chem. + 300 kg org. fert., 2.5 in open field, CWR (m3 water/du.) =254-339. Open field",,,,,
"Cabbage, common",Northern Jordan Valley,"sandy clay soil, irrigated, 151 kg chem. + 300 kg org. fert., 3 ton in open field, CWR (m3 water/du.) =349-378",1,9,1,11,no,50000,seedlings/ha,120-150,Days,15,1,15,4,"Rainfall isohytes range within ( 300-450) mm/year , altitude range (-343- 324) m, mean annual range of max. tempreature(30-34) oC,mean annual range of min. tempreature(18-22) oC","Irrigated agriculture: for cereals( crops like maize, barley ) and for legumes (crops like beans), for root and tubber (crops like potato, carrot) in addition to the vegetables (crops like okra, lettuce) at for fruit trees (like guva, palm)",Northern ghor,"sandy clay soil, irrigated, 151 kg chem. + 300 kg org. fert., 3 ton in open field, CWR (m3 water/du.) =349-378. Open field",,,,,
Lettuce,Northern Jordan Valley,"Sandy to heavy land, with good drainage and aeration,irrigated, productivity 3.5, CWR (m3 water/du.) =177-187,  ",15,10,15,12,no,3000-3500,seedlings/ha,90-100,Days,25,1,30,3,"Rainfall isohytes range within ( 300-450) mm/year , altitude range (-343- 324) m, mean annual range of max. tempreature(30-34) oC,mean annual range of min. tempreature(18-22) oC","Irrigated agriculture: for cereals( crops like maize, barley ) and for legumes (crops like beans), for root and tubber (crops like potato, carrot) in addition to the vegetables (crops like okra, lettuce) at for fruit trees (like guva, palm)",Northern ghor,"Sandy to heavy land, with good drainage and aeration,irrigated, productivity 3.5, CWR (m3 water/du.) =177-187. Open field  ",,,,,
